INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 14:28:35 2018-------------------------------
DEBUG:root:0,1003, generated, node, -
DEBUG:root:0,1000, generated, node, -
DEBUG:root:0,1002, generated, node, -
DEBUG:root:0,1001, generated, node, -
DEBUG:root:0, 1002,Appended, Transaction, 2301
DEBUG:root:0, 1002, broadcasting, data, 2301
DEBUG:root:2,1003,received,transaction,2301 
DEBUG:root:2, 1003, broadcasting, data, 2301
DEBUG:root:2,1000,received,transaction,2301 
DEBUG:root:2, 1000, broadcasting, data, 2301
DEBUG:root:2,1001,received,transaction,2301 
DEBUG:root:2, 1001, broadcasting, data, 2301
DEBUG:root:9, 1000,Appended, Transaction, 2302
DEBUG:root:9, 1000, broadcasting, data, 2302
DEBUG:root:9,1003,received,transaction,2302 
DEBUG:root:9, 1003, broadcasting, data, 2302
DEBUG:root:9,1001,received,transaction,2302 
DEBUG:root:9, 1001, broadcasting, data, 2302
DEBUG:root:11,1002,received,transaction,2302 
DEBUG:root:11, 1002, broadcasting, data, 2302
DEBUG:root:19, 1001,Appended, Transaction, 2303
DEBUG:root:19, 1001, broadcasting, data, 2303
DEBUG:root:19,1000,received,transaction,2303 
DEBUG:root:19, 1000, broadcasting, data, 2303
DEBUG:root:19,1003,received,transaction,2303 
DEBUG:root:19, 1003, broadcasting, data, 2303
DEBUG:root:21,1002,received,transaction,2303 
DEBUG:root:21, 1002, broadcasting, data, 2303
DEBUG:root:29, 1002,Appended, Transaction, 2304
DEBUG:root:29, 1002, broadcasting, data, 2304
DEBUG:root:30, 1002, Created, block, 99901
INFO:root:No of blocks in node 1002 is 1
DEBUG:root:30, 1002, broadcasting, data, 99901
DEBUG:root:31,1003,received,transaction,2304 
DEBUG:root:31, 1003, broadcasting, data, 2304
DEBUG:root:31,1000,received,transaction,2304 
DEBUG:root:31, 1000, broadcasting, data, 2304
DEBUG:root:31,1001,received,transaction,2304 
DEBUG:root:31, 1001, broadcasting, data, 2304
DEBUG:root:32, 1003, broadcasting, data, 99901
DEBUG:root:32,1003, received, block, 99901
DEBUG:root:32,1003, interrupted, block, 99901 
INFO:root:No of blocks in node 1003 is 1
DEBUG:root:32, 1000, Created, block, 99902
INFO:root:No of blocks in node 1000 is 1
DEBUG:root:32, 1000, broadcasting, data, 99902
DEBUG:root:32, 1001, Created, block, 99903
INFO:root:No of blocks in node 1001 is 1
DEBUG:root:32, 1001, broadcasting, data, 99903
DEBUG:root:32, 1000, broadcasting, data, 99901
DEBUG:root:32,1000, received, block, 99901
DEBUG:root:32,1000, interrupted, block, 99901 
INFO:root:No of blocks in node 1000 is 2
DEBUG:root:32, 1003, broadcasting, data, 99902
DEBUG:root:32,1003, received, block, 99902
DEBUG:root:32,1003, interrupted, block, 99902 
INFO:root:No of blocks in node 1003 is 2
DEBUG:root:32, 1001, broadcasting, data, 99902
DEBUG:root:32,1001, received, block, 99902
DEBUG:root:32,1001, interrupted, block, 99902 
INFO:root:No of blocks in node 1001 is 2
DEBUG:root:32, 1000, broadcasting, data, 99903
DEBUG:root:32,1000, received, block, 99903
DEBUG:root:32,1000, interrupted, block, 99903 
INFO:root:No of blocks in node 1000 is 3
DEBUG:root:32, 1001, broadcasting, data, 99901
DEBUG:root:32,1001, received, block, 99901
DEBUG:root:32,1001, interrupted, block, 99901 
INFO:root:No of blocks in node 1001 is 3
DEBUG:root:32, 1003, broadcasting, data, 99903
DEBUG:root:32,1003, received, block, 99903
DEBUG:root:32,1003, interrupted, block, 99903 
INFO:root:No of blocks in node 1003 is 3
DEBUG:root:34, 1002, broadcasting, data, 99902
DEBUG:root:34,1002, received, block, 99902
DEBUG:root:34,1002, interrupted, block, 99902 
INFO:root:No of blocks in node 1002 is 2
DEBUG:root:34, 1002, broadcasting, data, 99903
DEBUG:root:34,1002, received, block, 99903
DEBUG:root:34,1002, interrupted, block, 99903 
INFO:root:No of blocks in node 1002 is 3
DEBUG:root:39, 1001,Appended, Transaction, 2305
DEBUG:root:39, 1001, broadcasting, data, 2305
DEBUG:root:39,1000,received,transaction,2305 
DEBUG:root:39, 1000, broadcasting, data, 2305
DEBUG:root:39,1003,received,transaction,2305 
DEBUG:root:39, 1003, broadcasting, data, 2305
DEBUG:root:41,1002,received,transaction,2305 
DEBUG:root:41, 1002, broadcasting, data, 2305
DEBUG:root:49, 1001,Appended, Transaction, 2306
DEBUG:root:49, 1001, broadcasting, data, 2306
DEBUG:root:49,1000,received,transaction,2306 
DEBUG:root:49, 1000, broadcasting, data, 2306
DEBUG:root:49,1003,received,transaction,2306 
DEBUG:root:49, 1003, broadcasting, data, 2306
DEBUG:root:51,1002,received,transaction,2306 
DEBUG:root:51, 1002, broadcasting, data, 2306
DEBUG:root:59, 1002,Appended, Transaction, 2307
DEBUG:root:59, 1002, broadcasting, data, 2307
DEBUG:root:61,1003,received,transaction,2307 
DEBUG:root:61, 1003, broadcasting, data, 2307
DEBUG:root:61,1000,received,transaction,2307 
DEBUG:root:61, 1000, broadcasting, data, 2307
DEBUG:root:61,1001,received,transaction,2307 
DEBUG:root:61, 1001, broadcasting, data, 2307
DEBUG:root:68, 1002,Appended, Transaction, 2308
DEBUG:root:68, 1002, broadcasting, data, 2308
DEBUG:root:69, 1002, Created, block, 99904
INFO:root:No of blocks in node 1002 is 4
DEBUG:root:69, 1002, broadcasting, data, 99904
DEBUG:root:70,1003,received,transaction,2308 
DEBUG:root:70, 1003, broadcasting, data, 2308
DEBUG:root:70,1000,received,transaction,2308 
DEBUG:root:70, 1000, broadcasting, data, 2308
DEBUG:root:70,1001,received,transaction,2308 
DEBUG:root:70, 1001, broadcasting, data, 2308
DEBUG:root:71, 1003, broadcasting, data, 99904
DEBUG:root:71,1003, received, block, 99904
DEBUG:root:71,1003, interrupted, block, 99904 
INFO:root:No of blocks in node 1003 is 4
DEBUG:root:71, 1000, Created, block, 99905
INFO:root:No of blocks in node 1000 is 4
DEBUG:root:71, 1000, broadcasting, data, 99905
DEBUG:root:71, 1001, Created, block, 99906
INFO:root:No of blocks in node 1001 is 4
DEBUG:root:71, 1001, broadcasting, data, 99906
DEBUG:root:71, 1000, broadcasting, data, 99904
DEBUG:root:71,1000, received, block, 99904
DEBUG:root:71,1000, interrupted, block, 99904 
INFO:root:No of blocks in node 1000 is 5
DEBUG:root:71, 1003, broadcasting, data, 99905
DEBUG:root:71,1003, received, block, 99905
DEBUG:root:71,1003, interrupted, block, 99905 
INFO:root:No of blocks in node 1003 is 5
DEBUG:root:71, 1001, broadcasting, data, 99905
DEBUG:root:71,1001, received, block, 99905
DEBUG:root:71,1001, interrupted, block, 99905 
INFO:root:No of blocks in node 1001 is 5
DEBUG:root:71, 1000, broadcasting, data, 99906
DEBUG:root:71,1000, received, block, 99906
DEBUG:root:71,1000, interrupted, block, 99906 
INFO:root:No of blocks in node 1000 is 6
DEBUG:root:71, 1001, broadcasting, data, 99904
DEBUG:root:71,1001, received, block, 99904
DEBUG:root:71,1001, interrupted, block, 99904 
INFO:root:No of blocks in node 1001 is 6
DEBUG:root:71, 1003, broadcasting, data, 99906
DEBUG:root:71,1003, received, block, 99906
DEBUG:root:71,1003, interrupted, block, 99906 
INFO:root:No of blocks in node 1003 is 6
DEBUG:root:73, 1002, broadcasting, data, 99905
DEBUG:root:73,1002, received, block, 99905
DEBUG:root:73,1002, interrupted, block, 99905 
INFO:root:No of blocks in node 1002 is 5
DEBUG:root:73, 1002, broadcasting, data, 99906
DEBUG:root:73,1002, received, block, 99906
DEBUG:root:73,1002, interrupted, block, 99906 
INFO:root:No of blocks in node 1002 is 6
DEBUG:root:78, 1002,Appended, Transaction, 2309
DEBUG:root:78, 1002, broadcasting, data, 2309
DEBUG:root:80,1003,received,transaction,2309 
DEBUG:root:80, 1003, broadcasting, data, 2309
DEBUG:root:80,1000,received,transaction,2309 
