Time,message_count
1,2
2,2
3,2
4,1
5,1
6,2
7,2
8,2
9,2
10,1
11,3
12,2
13,2
14,2
15,1
16,5
17,4
18,4
19,4
20,4
21,6
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,3
33,4
34,4
35,5
36,5
37,4
38,4
39,1
40,1
41,2
42,2
43,2
44,2
45,1
46,3
47,2
48,4
49,4
50,3
51,5
52,4
53,4
54,2
55,1
56,3
57,2
58,2
59,2
60,2
61,6
62,4
63,4
64,4
65,6
66,6
67,2
68,2
69,1
70,1
71,2
72,2
73,4
74,4
75,3
76,3
77,4
78,4
79,2
80,2
81,1
82,1
83,2
84,2
85,2
86,2
87,2
88,6
89,4
90,4
91,4
92,4
93,6
94,2
95,2
96,2
97,1
98,3
99,2
100,2
101,2
102,1
103,5
104,4
105,4
106,4
107,2
108,4
109,2
110,2
111,2
112,4
113,4
114,2
115,2
116,2
117,4
118,2
119,4
120,4
121,6
122,6
123,3
124,3
125,2
126,4
127,2
128,2
129,2
130,2
131,4
132,2
133,4
134,4
135,4
136,6
137,3
138,3
139,2
140,1
141,5
142,4
143,4
144,4
145,2
146,4
147,2
148,2
149,2
