0,1000, generated, node, -
0,1002, generated, node, -
0,1003, generated, node, -
0,1004, generated, node, -
0,1001, generated, node, -
0, 1000,Appended, Transaction, 2301
0, 1000, broadcasting, data, 2301
2,1002,received,transaction,2301 
2, 1002, broadcasting, data, 2301
2,1004,received,transaction,2301 
2, 1004, broadcasting, data, 2301
2,1001,received,transaction,2301 
2, 1001, broadcasting, data, 2301
3,1003,received,transaction,2301 
3, 1003, broadcasting, data, 2301
5, 1001,Appended, Transaction, 2302
5, 1001, broadcasting, data, 2302
6,1003,received,transaction,2302 
6, 1003, broadcasting, data, 2302
7,1000,received,transaction,2302 
7, 1000, broadcasting, data, 2302
9,1002,received,transaction,2302 
9, 1002, broadcasting, data, 2302
9,1004,received,transaction,2302 
9, 1004, broadcasting, data, 2302
10, 1001,Appended, Transaction, 2303
10, 1001, broadcasting, data, 2303
11,1003,received,transaction,2303 
11, 1003, broadcasting, data, 2303
12,1000,received,transaction,2303 
12, 1000, broadcasting, data, 2303
14,1002,received,transaction,2303 
14, 1002, broadcasting, data, 2303
14,1004,received,transaction,2303 
14, 1004, broadcasting, data, 2303
15, 1003,Appended, Transaction, 2304
15, 1003, broadcasting, data, 2304
16, 1003, Created, block, 99901
No of blocks in node 1003 is 1
16, 1003, broadcasting, data, 99901
16,1001,received,transaction,2304 
16, 1001, broadcasting, data, 2304
17, 1001, broadcasting, data, 99901
17,1001, received, block, 99901
17,1001, interrupted, block, 99901 
No of blocks in node 1001 is 1
18,1000,received,transaction,2304 
18, 1000, broadcasting, data, 2304
19, 1000, broadcasting, data, 99901
19,1000, received, block, 99901
19,1000, interrupted, block, 99901 
No of blocks in node 1000 is 1
20,1002,received,transaction,2304 
20, 1002, broadcasting, data, 2304
20,1004,received,transaction,2304 
20, 1004, broadcasting, data, 2304
20, 1002,Appended, Transaction, 2305
20, 1002, broadcasting, data, 2305
21, 1002, broadcasting, data, 99901
21,1002, received, block, 99901
21,1002, interrupted, block, 99901 
No of blocks in node 1002 is 1
21, 1004, broadcasting, data, 99901
21,1004, received, block, 99901
21,1004, interrupted, block, 99901 
No of blocks in node 1004 is 1
22,1000,received,transaction,2305 
22, 1000, broadcasting, data, 2305
24,1004,received,transaction,2305 
24, 1004, broadcasting, data, 2305
24,1001,received,transaction,2305 
24, 1001, broadcasting, data, 2305
25, 1003,Appended, Transaction, 2306
25, 1003, broadcasting, data, 2306
25,1003,received,transaction,2305 
25, 1003, broadcasting, data, 2305
26,1001,received,transaction,2306 
26, 1001, broadcasting, data, 2306
28,1000,received,transaction,2306 
28, 1000, broadcasting, data, 2306
30, 1000,Appended, Transaction, 2307
30, 1000, broadcasting, data, 2307
30,1002,received,transaction,2306 
30, 1002, broadcasting, data, 2306
30,1004,received,transaction,2306 
30, 1004, broadcasting, data, 2306
31, 1000, Created, block, 99902
No of blocks in node 1000 is 2
31, 1000, broadcasting, data, 99902
32,1002,received,transaction,2307 
32, 1002, broadcasting, data, 2307
32,1004,received,transaction,2307 
32, 1004, broadcasting, data, 2307
32,1001,received,transaction,2307 
32, 1001, broadcasting, data, 2307
33, 1002, broadcasting, data, 99902
33,1002, received, block, 99902
33,1002, interrupted, block, 99902 
No of blocks in node 1002 is 2
33, 1004, broadcasting, data, 99902
33,1004, received, block, 99902
33,1004, interrupted, block, 99902 
No of blocks in node 1004 is 2
33, 1001, broadcasting, data, 99902
33,1001, received, block, 99902
33,1001, interrupted, block, 99902 
No of blocks in node 1001 is 2
33,1003,received,transaction,2307 
33, 1003, broadcasting, data, 2307
34, 1003, broadcasting, data, 99902
34,1003, received, block, 99902
34,1003, interrupted, block, 99902 
35, 1003, Created, block, 99903
No of blocks in node 1003 is 2
35, 1003, broadcasting, data, 99903
35, 1004,Appended, Transaction, 2308
35, 1004, broadcasting, data, 2308
36, 1001, broadcasting, data, 99903
36,1001, received, block, 99903
36,1001, interrupted, block, 99903 
No of blocks in node 1001 is 3
37,1000,received,transaction,2308 
37, 1000, broadcasting, data, 2308
38, 1000, broadcasting, data, 99903
38,1000, received, block, 99903
38,1000, interrupted, block, 99903 
39,1002,received,transaction,2308 
39, 1002, broadcasting, data, 2308
39,1001,received,transaction,2308 
39, 1001, broadcasting, data, 2308
40, 1002, broadcasting, data, 99903
40,1002, received, block, 99903
40,1002, interrupted, block, 99903 
No of blocks in node 1002 is 3
40, 1004, broadcasting, data, 99903
40,1004, received, block, 99903
40,1004, interrupted, block, 99903 
No of blocks in node 1004 is 3
40,1003,received,transaction,2308 
40, 1003, broadcasting, data, 2308
40, 1004,Appended, Transaction, 2309
40, 1004, broadcasting, data, 2309
42,1000,received,transaction,2309 
42, 1000, broadcasting, data, 2309
44,1002,received,transaction,2309 
44, 1002, broadcasting, data, 2309
44,1001,received,transaction,2309 
44, 1001, broadcasting, data, 2309
45,1003,received,transaction,2309 
45, 1003, broadcasting, data, 2309
46, 1001,Appended, Transaction, 2310
46, 1001, broadcasting, data, 2310
47, 1001, Created, block, 99904
No of blocks in node 1001 is 4
47, 1001, broadcasting, data, 99904
47,1003,received,transaction,2310 
47, 1003, broadcasting, data, 2310
48, 1003, Created, block, 99905
No of blocks in node 1003 is 3
48, 1003, broadcasting, data, 99905
48, 1003, broadcasting, data, 99904
48,1003, received, block, 99904
48,1003, interrupted, block, 99904 
48,1000,received,transaction,2310 
48, 1000, broadcasting, data, 2310
49, 1000, broadcasting, data, 99904
49,1000, received, block, 99904
49,1000, interrupted, block, 99904 
49, 1001, broadcasting, data, 99905
49,1001, received, block, 99905
49,1001, interrupted, block, 99905 
Simulation ended
